[WARNING] - 2025-11-03 16:27:20,726 - license tracker/src/credentials/credentials_manager/validate:84 - Credentials validation failed for Ava'); DROP TABLE Employee; -- Fishbieafhdjklv;dsnavlk;asdhnvfaesjlk;nvsadvhdaslk;vgfnasd;sfd: Last name must be at most 32 characters long
[WARNING] - 2025-11-03 16:42:35,217 - license tracker/src/credentials/credentials_manager/validate:84 - Credentials validation failed for Ava'); DROP TABLE Employee; -- Fishbieghdsalkf;dndaslk;fnhasdjlk;fasndhjlf;asdbhnsjl;da;ng: Last name must be at most 32 characters long
[WARNING] - 2025-11-03 16:43:15,573 - license tracker/src/credentials/credentials_manager/validate:84 - Credentials validation failed for Ava'); DROP TABLE Employee; -- Fishbieghdsalkf;dndaslk;fnhasdjlk;fasndhjlf;asdbhnsjl;da;ng: Last name must be at most 32 characters long
[WARNING] - 2025-11-03 16:43:34,173 - license tracker/src/credentials/credentials_manager/validate:84 - Credentials validation failed for Ava'); DROP TABLE Employee; -- Fishbie: Department not found
[WARNING] - 2025-11-05 11:48:16,361 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 11:48:16,362 - license-tracker/src/credentials/credentials_manager/validate:52 - Credentials validation failed
[WARNING] - 2025-11-05 11:48:16,364 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 11:48:16,366 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 11:54:01,090 - license-tracker/src/credentials/credentials_manager/validate:54 - Credentials validation failed
[WARNING] - 2025-11-05 11:54:01,091 - license-tracker/src/credentials/credentials_manager/validate:58 - Credentials validation failed
[WARNING] - 2025-11-05 11:54:01,092 - license-tracker/src/credentials/credentials_manager/validate:54 - Credentials validation failed
[WARNING] - 2025-11-05 11:54:01,094 - license-tracker/src/credentials/credentials_manager/validate:54 - Credentials validation failed
[WARNING] - 2025-11-05 11:56:08,432 - license-tracker/src/credentials/credentials_manager/validate:54 - Credentials validation failed
[WARNING] - 2025-11-05 11:56:08,432 - license-tracker/src/credentials/credentials_manager/validate:58 - Credentials validation failed
[WARNING] - 2025-11-05 11:56:08,433 - license-tracker/src/credentials/credentials_manager/validate:54 - Credentials validation failed
[WARNING] - 2025-11-05 11:56:08,433 - license-tracker/src/credentials/credentials_manager/validate:54 - Credentials validation failed
[WARNING] - 2025-11-05 11:58:21,129 - license-tracker/src/credentials/credentials_manager/validate:54 - Credentials validation failed
[WARNING] - 2025-11-05 11:58:21,132 - license-tracker/src/credentials/credentials_manager/validate:58 - Credentials validation failed
[WARNING] - 2025-11-05 11:58:21,133 - license-tracker/src/credentials/credentials_manager/validate:54 - Credentials validation failed
[WARNING] - 2025-11-05 11:58:21,134 - license-tracker/src/credentials/credentials_manager/validate:54 - Credentials validation failed
[WARNING] - 2025-11-05 13:04:52,284 - license-tracker/src/credentials/credentials_manager/validate:86 - Credentials validation failed
[WARNING] - 2025-11-05 13:04:52,289 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 13:04:52,291 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 13:04:52,292 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 13:04:52,295 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 13:04:52,298 - license-tracker/src/credentials/credentials_manager/validate:86 - Credentials validation failed
[WARNING] - 2025-11-05 13:05:52,147 - license-tracker/src/credentials/credentials_manager/validate:86 - Credentials validation failed
[WARNING] - 2025-11-05 13:05:52,149 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 13:05:52,149 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 13:05:52,150 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 13:05:52,150 - license-tracker/src/credentials/credentials_manager/validate:48 - Credentials validation failed
[WARNING] - 2025-11-05 13:05:52,151 - license-tracker/src/credentials/credentials_manager/validate:86 - Credentials validation failed
[WARNING] - 2025-12-03 17:36:25,988 - license-tracker/backend/src/util/authenticate/_validate_token:55 - Request has no authorization token attached.
[ERROR] - 2025-12-03 17:36:25,993 - license-tracker/backend/src/util/authenticate/authorize:85 - Invalid authorization token provided.
[WARNING] - 2025-12-03 17:41:55,974 - license-tracker/backend/src/util/authenticate/_validate_token:55 - Request has no authorization token attached.
[ERROR] - 2025-12-03 17:41:55,976 - license-tracker/backend/src/util/authenticate/authorize:85 - Invalid authorization token provided.
